iteration,storage,timestep,charge,discharge
30,battery,1,9.999999999999991,9.437009455514399e-15
30,battery,2,2.3988427235485334e-12,9.999999999997637
31,battery,1,4.000000001479445,4.000000001478277
31,battery,2,4.000000000009937,4.000000000009973
32,battery,1,9.999999999999972,2.837702481247701e-14
32,battery,2,3.2832191572343594e-12,9.99999999999651
33,battery,1,4.000000001357576,4.000000001356494
33,battery,2,4.000000000007261,4.000000000007289
34,battery,1,9.999999999999924,7.636515185011064e-14
34,battery,2,6.47467044539023e-12,9.99999999999313
35,battery,1,4.000000001264678,4.000000001263658
35,battery,2,4.000000000004793,4.000000000004815
36,battery,1,9.999999999999817,1.8299557521183033e-13
36,battery,2,1.213672817670578e-11,9.999999999987143
37,battery,1,4.000000001196565,4.000000001195582
37,battery,2,4.000000000002008,4.000000000002025
38,battery,1,9.99999999999961,3.891905555961719e-13
38,battery,2,2.138968859269708e-11,9.999999999977364
39,battery,1,4.000000001128215,4.000000001127258
39,battery,2,3.999999999998896,3.9999999999989084
40,battery,1,10.0,7.273991014772321e-16
40,battery,2,3.456046683911572e-14,9.999999999999963
41,battery,1,4.000000001086568,4.000000001085628
41,battery,2,3.999999999996772,3.9999999999967804
42,battery,1,9.999999999999998,2.1428941359993933e-15
42,battery,2,7.064946190832918e-14,9.999999999999922
43,battery,1,4.000000001041015,4.000000001040083
43,battery,2,3.9999999999936464,3.999999999993652
44,battery,1,9.999999999999984,1.654822641141302e-14
44,battery,2,4.937971632212471e-13,9.99999999999946
45,battery,1,4.000000001037381,4.00000000103641
45,battery,2,3.9999999999891003,3.999999999989105
46,battery,1,9.999999999999917,8.386781726361286e-14
46,battery,2,2.398661782259208e-12,9.999999999997385
47,battery,1,4.000000001036416,4.000000001035396
47,battery,2,3.999999999982716,3.9999999999827223
48,battery,1,9.999999999999998,1.889820473554602e-15
48,battery,2,5.339412139162127e-14,9.999999999999941
49,battery,1,4.000000001038204,4.000000001037126
49,battery,2,3.999999999975732,3.999999999975739
50,battery,1,9.999999999999998,1.1838690574593711e-15
50,battery,2,3.282440311463305e-14,9.999999999999964
51,battery,1,4.000000001039215,4.0000000010380745
51,battery,2,3.9999999999671214,3.9999999999671285
52,battery,1,9.999999999999957,4.2213180655507654e-14
52,battery,2,2.8982275105989484e-12,9.999999999996222
53,battery,1,4.000000002005439,4.000000002004085
53,battery,2,4.000000000036009,4.000000000034524
54,battery,1,9.999999999999998,1.6963214486102855e-15
54,battery,2,2.0906542145052185e-12,9.999999999997886
55,battery,1,4.000000001854316,4.000000001853051
55,battery,2,4.000000000041843,4.000000000040707
56,battery,1,9.999999999999998,1.5168970414609132e-15
56,battery,2,1.748172057772283e-12,9.999999999998227
57,battery,1,4.00000000180027,4.00000000179901
57,battery,2,4.000000000043771,4.00000000004297
58,battery,1,9.999999999999998,1.830675867343088e-15
58,battery,2,1.8981470455499002e-12,9.999999999998058
59,battery,1,4.000000001730008,4.000000001728758
59,battery,2,4.000000000049413,4.000000000048863
60,battery,1,9.999999999999998,2.27467841403452e-15
60,battery,2,2.1561787360347952e-12,9.999999999997774
61,battery,1,4.000000001637138,4.000000001635929
61,battery,2,4.000000000052388,4.000000000052021
62,battery,1,9.999999999999996,2.8105532360133345e-15
62,battery,2,2.418231117870752e-12,9.99999999999749
63,battery,1,4.000000001608351,4.000000001607118
63,battery,2,4.0000000000562945,4.000000000056048
64,battery,1,9.999999999999996,3.3036273598690105e-15
64,battery,2,2.5792640160013896e-12,9.999999999997321
65,battery,1,4.000000001592837,4.000000001591576
65,battery,2,4.000000000059322,4.0000000000591704
66,battery,1,9.999999999999996,2.6954899002319614e-15
66,battery,2,2.004695966410951e-12,9.999999999997941
67,battery,1,4.0000000016069714,4.000000001605682
67,battery,2,4.000000000056481,4.000000000056397
68,battery,1,9.999999999999998,2.4662728547765102e-15
68,battery,2,1.7199237082408898e-12,9.999999999998249
69,battery,1,4.000000001635686,4.000000001634344
69,battery,2,4.000000000060643,4.000000000060606
70,battery,1,9.999999999999998,2.5311416019040823e-15
70,battery,2,1.622172996170177e-12,9.99999999999836
71,battery,1,4.000000001701243,4.00000000169984
71,battery,2,4.000000000055594,4.000000000055588
72,battery,1,9.999999999999996,2.82869054393211e-15
72,battery,2,1.6364649281098123e-12,9.999999999998355
