iteration,dual,timestep,line,value
104,lambda,1,,29.884776102355268
104,lambda,2,,-32.118930477276024
105,lambda,1,,-48.3241989651355
105,lambda,2,,-28.780009705995496
106,lambda,1,,29.884776102396792
106,lambda,2,,-32.19489884929959
107,lambda,1,,-48.324198965094475
107,lambda,2,,-25.461485169490402
108,lambda,1,,29.88477610237043
108,lambda,2,,-29.62177726659101
109,lambda,1,,-48.32419896509163
109,lambda,2,,-24.33131425321764
110,lambda,1,,29.884776102374353
110,lambda,2,,-29.52947516420602
111,lambda,1,,-48.324198965087994
111,lambda,2,,-25.421809956856464
112,lambda,1,,29.884776099968654
112,lambda,2,,-30.308743999588074
113,lambda,1,,-48.32419896617123
113,lambda,2,,-26.465204112759892
114,lambda,1,,29.884776098990578
114,lambda,2,,-30.64565423200264
115,lambda,1,,-48.32419896690542
115,lambda,2,,-26.995353819454692
116,lambda,1,,29.884776098527816
116,lambda,2,,-30.739217872845984
117,lambda,1,,-48.32419896733918
117,lambda,2,,-27.393852748823406
118,lambda,1,,29.88477609793143
118,lambda,2,,-30.891089408036635
119,lambda,1,,-48.32419896774619
119,lambda,2,,-27.80654212280058
120,lambda,1,,29.88477609702951
120,lambda,2,,-31.40261691604138
121,lambda,1,,-48.32419896827576
121,lambda,2,,-28.313739670734606
122,lambda,1,,29.884776095767087
122,lambda,2,,-31.824005586082933
123,lambda,1,,-48.3241989689996
123,lambda,2,,-28.631078494263704
124,lambda,1,,29.884776093871018
124,lambda,2,,-32.05333825489879
125,lambda,1,,-48.32419897006444
125,lambda,2,,-28.80115375041322
126,lambda,1,,29.884776090859155
126,lambda,2,,-32.188306326745476
127,lambda,1,,-48.32419897172982
127,lambda,2,,-28.91498831604173
128,lambda,1,,29.884776083817577
128,lambda,2,,-32.286137417121324
129,lambda,1,,-48.324198975383815
129,lambda,2,,-28.997250285030532
130,lambda,1,,29.88477609422207
130,lambda,2,,-32.352201258861214
131,lambda,1,,-48.32419897172732
131,lambda,2,,-29.047343836435516
132,lambda,1,,29.884776098384727
132,lambda,2,,-32.38776720182142
133,lambda,1,,-48.32419896895441
133,lambda,2,,-29.07056504662353
134,lambda,1,,29.88477610020869
134,lambda,2,,-32.40093285554582
135,lambda,1,,-48.32419896730176
135,lambda,2,,-29.075646212532433
136,lambda,1,,29.884776101148894
136,lambda,2,,-32.39944336812556
137,lambda,1,,-48.32419896635398
137,lambda,2,,-29.068701464083688
138,lambda,1,,29.884776101662077
138,lambda,2,,-32.38789298461194
139,lambda,1,,-48.324198965817565
139,lambda,2,,-29.05324770588669
140,lambda,1,,29.884776101937867
140,lambda,2,,-32.36916007174244
141,lambda,1,,-48.32419896552019
141,lambda,2,,-29.03180607871002
142,lambda,1,,29.88477610207469
142,lambda,2,,-32.3455255090538
143,lambda,1,,-48.32419896536231
143,lambda,2,,-29.006432503488043
144,lambda,1,,29.88477610212866
144,lambda,2,,-32.31880199164584
145,lambda,1,,-48.32419896528673
145,lambda,2,,-28.97868689907824
146,lambda,1,,29.88477610213247
146,lambda,2,,-32.29030905164251
147,lambda,1,,-48.324198965258454
147,lambda,2,,-28.949677602369718
148,lambda,1,,29.884776102110642
148,lambda,2,,-32.26097883105393
149,lambda,1,,-48.32419896525814
149,lambda,2,,-28.920192571030555
150,lambda,1,,29.884776102043908
150,lambda,2,,-32.231480196916266
151,lambda,1,,-48.32419896528716
151,lambda,2,,-28.890799848554707
152,lambda,1,,29.88477610195475
152,lambda,2,,-32.20229380369835
153,lambda,1,,-48.32419896533508
153,lambda,2,,-28.86190343553335
154,lambda,1,,29.884776102226773
154,lambda,2,,-32.17375644593551
155,lambda,1,,-48.32419896522652
155,lambda,2,,-28.83378165679494
156,lambda,1,,29.884776102337177
156,lambda,2,,-32.14609604650957
157,lambda,1,,-48.324198965148206
157,lambda,2,,-28.806619300156342
158,lambda,1,,29.88477610238818
158,lambda,2,,-32.11946064772286
159,lambda,1,,-48.32419896510175
159,lambda,2,,-28.780532987336812
160,lambda,1,,29.88477610241548
