iteration,storage,timestep,charge,discharge
50,battery,2,6.590267338151963e-15,9.999999999999993
51,battery,1,9.999999999997097,2.7871655904401085e-12
51,battery,2,4.04384423006151e-12,9.999999999995708
52,battery,1,9.999999999998169,1.7601282973855684e-12
52,battery,2,2.5530656264231142e-12,9.999999999997293
53,battery,1,9.99999999999832,1.6145846243289053e-12
53,battery,2,2.3463064191260288e-12,9.999999999997513
54,battery,1,9.999999999998261,1.6716771227102384e-12
54,battery,2,2.432899933977809e-12,9.999999999997423
55,battery,1,9.999999999999995,4.366327211880362e-15
55,battery,2,6.362326426796603e-15,9.999999999999993
56,battery,1,9.99999999999997,2.920301349438948e-14
56,battery,2,4.2634564510115935e-14,9.999999999999956
57,battery,1,9.999999999999055,9.096095159399747e-13
57,battery,2,1.3309330266756175e-12,9.999999999998593
58,battery,1,9.999999999999988,1.2456631948359757e-14
58,battery,2,1.8419519361825434e-14,9.99999999999998
59,battery,1,9.999999999999673,3.136646202950564e-13
59,battery,2,4.3059246052939193e-13,9.999999999999542
60,battery,1,9.999999999999988,1.1215449880771917e-14
60,battery,2,1.6593536001580552e-14,9.999999999999982
61,battery,1,9.999999999999966,3.182657920042711e-14
61,battery,2,4.7464696721691956e-14,9.99999999999995
62,battery,1,9.99999999999978,2.12422951435297e-13
62,battery,2,3.20158554503528e-13,9.999999999999662
63,battery,1,9.999999999998245,1.6953597302995333e-12
63,battery,2,2.554545359421182e-12,9.999999999997309
64,battery,1,9.99999999999903,9.265516577508585e-13
64,battery,2,1.23870906280905e-12,9.999999999998682
65,battery,1,9.999999999999671,3.1564557514316974e-13
65,battery,2,4.461533706498402e-13,9.999999999999527
66,battery,1,9.999999999999645,3.419507382318878e-13
66,battery,2,4.961292206107557e-13,9.999999999999476
67,battery,1,9.999999999999483,4.978324579339989e-13
67,battery,2,7.325206619855237e-13,9.999999999999227
68,battery,1,9.999999999997597,2.317198458842562e-12
68,battery,2,3.376613617564433e-12,9.999999999996437
69,battery,1,9.999999999993513,6.249608279293279e-12
69,battery,2,9.020459805077388e-12,9.999999999990475
70,battery,1,9.999999999999936,6.133397460612912e-14
70,battery,2,8.38604468820318e-14,9.999999999999911
71,battery,1,9.999999999994513,5.277644772081922e-12
71,battery,2,7.478636634689503e-12,9.999999999992092
72,battery,1,9.999999999999991,9.419577889843046e-15
72,battery,2,1.3915503905344473e-14,9.999999999999986
73,battery,1,9.999999999991891,7.345488044406841e-12
73,battery,2,1.0894855805479082e-11,9.999999999987336
74,battery,1,9.999999999999554,3.947755263198324e-13
74,battery,2,5.683622204935248e-13,9.999999999999316
75,battery,1,9.999999999999885,1.0274421103113123e-13
75,battery,2,1.4476320525122254e-13,9.99999999999983
76,battery,1,9.99999999999993,6.315432378985603e-14
76,battery,2,8.900486600003392e-14,9.999999999999899
77,battery,1,9.99999999999997,2.8259519594137055e-14
77,battery,2,3.999461254491529e-14,9.999999999999956
78,battery,1,9.999999999999623,3.5029786075619766e-13
78,battery,2,4.970418232504087e-13,9.99999999999945
79,battery,1,9.999999999999945,5.173680261717049e-14
79,battery,2,7.320942517400512e-14,9.999999999999918
80,battery,1,9.999999999999982,1.6547697868466482e-14
80,battery,2,2.3445242103433727e-14,9.999999999999973
81,battery,1,9.999999999999993,6.972360550998566e-15
81,battery,2,9.872178561133586e-15,9.99999999999999
82,battery,1,9.999999999996225,3.5116936679446587e-12
82,battery,2,4.970348518374293e-12,9.999999999994486
83,battery,1,9.999999999996852,2.935665472331313e-12
83,battery,2,4.1718135493248835e-12,9.999999999995387
84,battery,1,9.999999999997025,2.781267982261161e-12
84,battery,2,3.958081469629236e-12,9.999999999995637
85,battery,1,9.999999999997154,2.6656673148814626e-12
85,battery,2,3.799018382218878e-12,9.999999999995824
