iteration,storage,timestep,charge,discharge
36,battery,2,2.8559775515925455e-11,9.999999999966876
37,battery,1,9.999999999972998,3.353278798315893e-11
37,battery,2,2.9805777800095524e-11,9.999999999965453
38,battery,1,9.999999999971601,3.5174933059872435e-11
38,battery,2,3.137575106711783e-11,9.999999999963661
39,battery,1,9.999999999969939,3.712923958647233e-11
39,battery,2,3.324743954894817e-11,9.999999999961526
40,battery,1,9.999999999968065,3.932752403489875e-11
40,battery,2,3.536008322177017e-11,9.999999999959117
41,battery,1,9.999999999966061,4.167304630887243e-11
41,battery,2,3.7621278239270415e-11,9.999999999956536
42,battery,1,9.999999999964018,4.405618587891354e-11
42,battery,2,3.9925550027301214e-11,9.999999999953909
43,battery,1,9.999999999962006,4.63947594764476e-11
43,battery,2,4.219242657527137e-11,9.999999999951322
44,battery,1,9.999999999960062,4.864375808090019e-11
44,battery,2,4.438106972557106e-11,9.999999999948825
45,battery,1,9.999999999958193,5.079864244622744e-11
45,battery,2,4.648115890879763e-11,9.99999999994643
46,battery,1,9.999999999956376,5.287339844847045e-11
46,battery,2,4.859990037130399e-11,9.999999999944057
47,battery,1,9.999999999954587,5.492830984927741e-11
47,battery,2,5.062341647808034e-11,9.999999999941757
48,battery,1,9.999999999999941,7.589026032564928e-14
48,battery,2,6.75482884333294e-14,9.999999999999922
49,battery,1,9.999999999999943,7.169115163089798e-14
49,battery,2,6.474334303296537e-14,9.999999999999925
50,battery,1,9.999999999999941,7.426182774782934e-14
50,battery,2,6.724524320712559e-14,9.999999999999924
51,battery,1,9.999999999999936,8.408270454592224e-14
51,battery,2,7.542485340366896e-14,9.999999999999913
52,battery,1,9.999999999999932,8.7022776503699e-14
52,battery,2,7.8269650730907e-14,9.99999999999991
53,battery,1,9.99999999999993,9.005846201615189e-14
53,battery,2,8.121338787727771e-14,9.999999999999908
54,battery,1,9.999999999999927,9.311998715747927e-14
54,battery,2,8.418760977264951e-14,9.999999999999904
55,battery,1,9.999999999999925,9.616993214415533e-14
55,battery,2,8.71595212927291e-14,9.9999999999999
56,battery,1,9.999999999999924,9.918030078240962e-14
56,battery,2,9.010278097790037e-14,9.999999999999897
57,battery,1,9.999999999999925,9.401404534122048e-14
57,battery,2,8.666066588829732e-14,9.9999999999999
58,battery,1,9.999999999999922,9.678672833334133e-14
58,battery,2,8.941416285729083e-14,9.999999999999897
59,battery,1,9.99999999999992,9.950846540812325e-14
59,battery,2,9.212419818313799e-14,9.999999999999895
60,battery,1,9.999999999999918,1.0216798939596078e-13
60,battery,2,9.478301613158406e-14,9.999999999999892
61,battery,1,9.999999999999915,1.0477521073032457e-13
61,battery,2,9.735763300833672e-14,9.999999999999888
62,battery,1,9.999999999999913,1.0726978783865583e-13
62,battery,2,9.993015804559004e-14,9.999999999999886
63,battery,1,9.999999999999911,1.098356811496579e-13
63,battery,2,1.024633844824652e-13,9.999999999999883
