iteration,dual,timestep,line,value
102,lambda,2,,-30.15574410635093
103,lambda,1,,-30.0132013704784
103,lambda,2,,-30.153235744581995
104,lambda,1,,-30.01300166000758
104,lambda,2,,-30.15076778113794
105,lambda,1,,-30.01280356846053
105,lambda,2,,-30.148339565477933
106,lambda,1,,-30.01260815107612
106,lambda,2,,-30.145950457523238
107,lambda,1,,-30.01241623687543
107,lambda,2,,-30.143599827489176
108,lambda,1,,-30.01222829523921
108,lambda,2,,-30.141287055720944
109,lambda,1,,-30.012044414629674
109,lambda,2,,-30.13901153252997
110,lambda,1,,-30.011864371202723
110,lambda,2,,-30.136772658037774
111,lambda,1,,-30.011687748213227
111,lambda,2,,-30.134569842019562
112,lambda,1,,-30.011514067815956
112,lambda,2,,-30.132402503750985
113,lambda,1,,-30.01134290273806
113,lambda,2,,-30.130270071856707
114,lambda,1,,-30.011173948776925
114,lambda,2,,-30.128171984160474
115,lambda,1,,-30.01100705149364
115,lambda,2,,-30.12610768753809
116,lambda,1,,-30.010842193738764
116,lambda,2,,-30.1240766377712
117,lambda,1,,-30.01067945423005
117,lambda,2,,-30.12207829939241
118,lambda,1,,-30.010518965913782
118,lambda,2,,-30.120112145582766
119,lambda,1,,-30.01036085260501
119,lambda,2,,-30.118177657996522
120,lambda,1,,-30.010205206817535
120,lambda,2,,-30.116274326633718
121,lambda,1,,-30.01005205611936
121,lambda,2,,-30.114401649702152
122,lambda,1,,-30.009901392748855
122,lambda,2,,-30.11255913349439
123,lambda,1,,-30.009753142899314
123,lambda,2,,-30.11074629225237
124,lambda,1,,-30.009607219655145
124,lambda,2,,-30.108962648041583
125,lambda,1,,-30.009463519820198
125,lambda,2,,-30.107207730624676
126,lambda,1,,-30.009321955834423
126,lambda,2,,-30.105481077337988
127,lambda,1,,-30.009182455686073
127,lambda,2,,-30.10378223296993
128,lambda,1,,-30.009044973330717
128,lambda,2,,-30.102110749640005
129,lambda,1,,-30.00890948160204
129,lambda,2,,-30.10046618668118
130,lambda,1,,-30.008775969139915
130,lambda,2,,-30.098848110523317
131,lambda,1,,-30.008644430435
131,lambda,2,,-30.097256094579073
132,lambda,1,,-30.00851486020131
132,lambda,2,,-30.09568971913127
133,lambda,1,,-30.008387247221066
133,lambda,2,,-30.094148571222807
134,lambda,1,,-30.008261572450174
134,lambda,2,,-30.09263224454728
135,lambda,1,,-30.00813780856042
135,lambda,2,,-30.091140339341926
136,lambda,1,,-30.008015922131754
136,lambda,2,,-30.08967246228243
137,lambda,1,,-30.00789587625484
137,lambda,2,,-30.08822822637919
138,lambda,1,,-30.007777633662936
138,lambda,2,,-30.086807250875662
139,lambda,1,,-30.00766115901142
139,lambda,2,,-30.085409161147158
140,lambda,1,,-30.007546420365504
140,lambda,2,,-30.084033588603102
141,lambda,1,,-30.007433389608604
141,lambda,2,,-30.08268017058894
142,lambda,1,,-30.007322042026136
142,lambda,2,,-30.081348550286616
143,lambda,1,,-30.007212355114543
143,lambda,2,,-30.080038376633848
144,lambda,1,,-30.007104307860335
144,lambda,2,,-30.078749304219382
145,lambda,1,,-30.006997879211443
145,lambda,2,,-30.07748099319337
146,lambda,1,,-30.006893047633692
146,lambda,2,,-30.07623310917916
147,lambda,1,,-30.006789790583483
147,lambda,2,,-30.07500532318535
148,lambda,1,,-30.00668808464098
148,lambda,2,,-30.07379731151888
149,lambda,1,,-30.006587905731248
149,lambda,2,,-30.072608755700337
150,lambda,1,,-30.006489229628208
150,lambda,2,,-30.071439342379964
151,lambda,1,,-30.006392032352895
151,lambda,2,,-30.070288763254887
152,lambda,1,,-30.006296290518772
152,lambda,2,,-30.069156714987756
153,lambda,1,,-30.006201981555453
153,lambda,2,,-30.068042899126716
154,lambda,1,,-30.006109083706075
154,lambda,2,,-30.06694702202665
155,lambda,1,,-30.006017576032086
155,lambda,2,,-30.06586879477192
156,lambda,1,,-30.005927438131504
156,lambda,2,,-30.064807933099534
157,lambda,1,,-30.00583865007033
157,lambda,2,,-30.06376415732514
158,lambda,1,,-30.00575119214115
158,lambda,2,,-30.06273719226863
159,lambda,1,,-30.005665044817917
159,lambda,2,,-30.061726767182225
160,lambda,1,,-30.005580188625316
160,lambda,2,,-30.060732615678187
161,lambda,1,,-30.005496604241376
161,lambda,2,,-30.05975447565925
162,lambda,1,,-30.005414272465938
162,lambda,2,,-30.058792089249703
163,lambda,1,,-30.005333174337114
163,lambda,2,,-30.057845202726917
164,lambda,1,,-30.00525329114621
164,lambda,2,,-30.05691356645496
165,lambda,1,,-30.005174604520263
165,lambda,2,,-30.05599693481808
166,lambda,1,,-30.005097096422993
166,lambda,2,,-30.05509506615645
167,lambda,1,,-30.00502074916821
167,lambda,2,,-30.0542077227025
168,lambda,1,,-30.004945545389994
168,lambda,2,,-30.05333467051767
169,lambda,1,,-30.00487146801854
169,lambda,2,,-30.052475679431545
170,lambda,1,,-30.004798500284164
170,lambda,2,,-30.05163052298049
171,lambda,1,,-30.004726625650907
171,lambda,2,,-30.050798978348205
172,lambda,1,,-30.004655827784102
172,lambda,2,,-30.049980826307234
173,lambda,1,,-30.0045860905768
173,lambda,2,,-30.049175851160744
174,lambda,1,,-30.004517398125376
174,lambda,2,,-30.04838384068598
175,lambda,1,,-30.00444973475647
175,lambda,2,,-30.047604586077952
176,lambda,1,,-30.004383085018514
176,lambda,2,,-30.046837881895108
177,lambda,1,,-30.004317433763337
177,lambda,2,,-30.046083526004015
178,lambda,1,,-30.004252765972257
178,lambda,2,,-30.045341319527306
179,lambda,1,,-30.00418906690457
179,lambda,2,,-30.04461106679018
180,lambda,1,,-30.00412632200899
180,lambda,2,,-30.043892575269428
181,lambda,1,,-30.00406451732287
181,lambda,2,,-30.043185655542942
182,lambda,1,,-30.004003638065115
182,lambda,2,,-30.04249012123909
183,lambda,1,,-30.00394367083229
183,lambda,2,,-30.04180578898785
184,lambda,1,,-30.00388460168728
184,lambda,2,,-30.041132478373463
185,lambda,1,,-30.00382641743047
185,lambda,2,,-30.04047001188672
186,lambda,1,,-30.00376910469505
186,lambda,2,,-30.039818214877656
187,lambda,1,,-30.00371265079136
187,lambda,2,,-30.039176915503212
188,lambda,1,,-30.00365704248053
188,lambda,2,,-30.03854594467039
189,lambda,1,,-30.00360226745907
189,lambda,2,,-30.037925136032893
190,lambda,1,,-30.003548312843794
190,lambda,2,,-30.03731432592847
191,lambda,1,,-30.003495166569042
191,lambda,2,,-30.036713353333212
192,lambda,1,,-30.00344281633876
192,lambda,2,,-30.03612205981441
193,lambda,1,,-30.003391249812132
193,lambda,2,,-30.03554028948497
194,lambda,1,,-30.003340456231737
194,lambda,2,,-30.034967888970936
195,lambda,1,,-30.003290423946392
195,lambda,2,,-30.03440470736398
196,lambda,1,,-30.00324114088447
196,lambda,2,,-30.033850596185314
197,lambda,1,,-30.003192596149013
197,lambda,2,,-30.033305409346884
198,lambda,1,,-30.00314477838881
198,lambda,2,,-30.03276900311447
199,lambda,1,,-30.00309767688809
199,lambda,2,,-30.032241236069172
200,lambda,1,,-30.003051272668436
200,lambda,2,,-30.031721969026922
201,lambda,1,,-30.003005572577088
201,lambda,2,,-30.03121106513306
202,lambda,1,,-30.002960534959882
202,lambda,2,,-30.030708389700713
203,lambda,1,,-30.002916194854347
203,lambda,2,,-30.030213810214807
204,lambda,1,,-30.00287251273841
204,lambda,2,,-30.029727196283066
205,lambda,1,,-30.002829496741978
205,lambda,2,,-30.02924841960906
206,lambda,1,,-30.00278712190842
206,lambda,2,,-30.028777353961935
207,lambda,1,,-30.002745385499622
207,lambda,2,,-30.028313875145656
208,lambda,1,,-30.00270427054829
208,lambda,2,,-30.027857860966773
209,lambda,1,,-30.00266377092058
209,lambda,2,,-30.02740919120166
210,lambda,1,,-30.002623874581428
210,lambda,2,,-30.026967747564594
211,lambda,1,,-30.002584574693472
211,lambda,2,,-30.026533413674986
212,lambda,1,,-30.002545861800996
212,lambda,2,,-30.02610607502702
213,lambda,1,,-30.00250772872755
213,lambda,2,,-30.025685618958587
214,lambda,1,,-30.00247016688285
214,lambda,2,,-30.025271934621404
215,lambda,1,,-30.00243316853459
215,lambda,2,,-30.024864912952197
216,lambda,1,,-30.00239672515858
216,lambda,2,,-30.024464446643847
217,lambda,1,,-30.00236082854327
217,lambda,2,,-30.024070430117664
218,lambda,1,,-30.00232547018072
218,lambda,2,,-30.023682759495173
219,lambda,1,,-30.00229064177639
219,lambda,2,,-30.023301332571318
220,lambda,1,,-30.002256335001576
220,lambda,2,,-30.02292604878666
221,lambda,1,,-30.002222541928813
221,lambda,2,,-30.022556809202335
222,lambda,1,,-30.002189254696308
222,lambda,2,,-30.02219351647217
223,lambda,1,,-30.002156465746257
223,lambda,2,,-30.02183607481826
224,lambda,1,,-30.002124167667915
224,lambda,2,,-30.02148439000521
225,lambda,1,,-30.002092353219897
225,lambda,2,,-30.021138369315032
226,lambda,1,,-30.002061015253886
226,lambda,2,,-30.020797921523286
227,lambda,1,,-30.002030146752617
227,lambda,2,,-30.020462956874677
228,lambda,1,,-30.001999740721875
228,lambda,2,,-30.020133387059264
229,lambda,1,,-30.00196979030403
229,lambda,2,,-30.01980912518226
230,lambda,1,,-30.001940288267974
230,lambda,2,,-30.01949008576312
231,lambda,1,,-30.001911228260276
231,lambda,2,,-30.019176184692913
232,lambda,1,,-30.00188260347711
232,lambda,2,,-30.018867339215728
233,lambda,1,,-30.001854407571614
233,lambda,2,,-30.01856346790722
234,lambda,1,,-30.00182663400333
234,lambda,2,,-30.018264490653916
235,lambda,1,,-30.001799276511885
235,lambda,2,,-30.017970328632533
236,lambda,1,,-30.001772328813754
236,lambda,2,,-30.017680904289694
237,lambda,1,,-30.001745784753236
237,lambda,2,,-30.01739614132191
238,lambda,1,,-30.0017196382864
238,lambda,2,,-30.017115964654398
239,lambda,1,,-30.001693883433806
239,lambda,2,,-30.016840300421872
240,lambda,1,,-30.001668514343162
240,lambda,2,,-30.016569075948908
241,lambda,1,,-30.00164352521649
241,lambda,2,,-30.016302219730427
242,lambda,1,,-30.001618910400424
242,lambda,2,,-30.016039661413085
243,lambda,1,,-30.001594664257077
243,lambda,2,,-30.01578133177592
244,lambda,1,,-30.001570781296998
244,lambda,2,,-30.01552716271331
245,lambda,1,,-30.001547256059986
245,lambda,2,,-30.01527708721699
246,lambda,1,,-30.001524083212306
246,lambda,2,,-30.01503103935809
247,lambda,1,,-30.001501257449334
247,lambda,2,,-30.014788954269218
248,lambda,1,,-30.001478773605513
248,lambda,2,,-30.014550768127584
249,lambda,1,,-30.001456626525048
249,lambda,2,,-30.01431641813815
250,lambda,1,,-30.00143481118033
250,lambda,2,,-30.01408584251726
251,lambda,1,,-30.001413322571516
251,lambda,2,,-30.013858980476368
252,lambda,1,,-30.00139215583002
252,lambda,2,,-30.013635772205838
253,lambda,1,,-30.001371306134057
253,lambda,2,,-30.013416158859297
254,lambda,1,,-30.00135076872562
