iteration,generator,timestep,generation
45,pv,2,79.99999999999984
46,pv,1,76.12517567530139
46,pv,2,79.99999999999984
47,pv,1,76.10923345758928
47,pv,2,79.99999999999984
48,pv,1,76.0933314806852
48,pv,2,79.99999999999986
49,pv,1,76.07729095807491
49,pv,2,79.99999999999986
50,pv,1,76.0610671556384
50,pv,2,79.99999999999987
51,pv,1,76.04472347378096
51,pv,2,79.99999999999987
52,pv,1,76.02838898539258
52,pv,2,79.99999999999987
53,pv,1,76.01221212536409
53,pv,2,79.99999999999987
54,pv,1,75.99632220580476
54,pv,2,79.99999999999987
55,pv,1,75.98080484653708
55,pv,2,79.99999999999987
56,pv,1,75.96569338279475
56,pv,2,79.99999999999986
57,pv,1,75.95097393698404
57,pv,2,79.99999999999986
58,pv,1,75.93659963302623
58,pv,2,79.99999999999984
59,pv,1,75.92250845231554
59,pv,2,79.99999999999983
60,pv,1,75.90863991249385
60,pv,2,79.99999999999982
61,pv,1,75.8949471807401
61,pv,2,79.99999999999979
62,pv,1,75.88140313520195
62,pv,2,79.99999999999974
63,pv,1,75.86800057098043
63,pv,2,79.9999999999997
64,pv,1,75.85474799973656
64,pv,2,79.99999999999966
65,pv,1,75.84166308042296
65,pv,2,79.99999999999962
66,pv,1,75.8287657278188
66,pv,2,79.99999999999956
67,pv,1,75.81607249122801
67,pv,2,79.9999999999995
68,pv,1,75.80359311491686
68,pv,2,79.99999999999925
69,pv,1,75.79132947951139
69,pv,2,79.99999999999918
70,pv,1,75.77927655008149
70,pv,2,79.99999999999909
71,pv,1,75.76742461294518
71,pv,2,79.99999999999902
72,pv,1,75.75576198064384
72,pv,2,79.99999999999893
73,pv,1,75.74427745265847
73,pv,2,79.99999999999883
74,pv,1,75.73296205273574
74,pv,2,79.99999999999874
75,pv,1,75.72180984520388
75,pv,2,79.9999999999988
76,pv,1,75.71081788683135
76,pv,2,79.99999999999869
77,pv,1,75.69998553988182
77,pv,2,79.99999999999856
78,pv,1,75.68931346596229
78,pv,2,79.99999999999842
79,pv,1,75.67880259723908
79,pv,2,79.99999999999795
80,pv,1,75.66845331764046
80,pv,2,79.99999999999773
81,pv,1,75.65826498479623
81,pv,2,79.99999999999747
82,pv,1,75.64823580268758
82,pv,2,79.99999999999719
83,pv,1,75.63836299164166
83,pv,2,79.9999999999969
84,pv,1,75.62864313670852
84,pv,2,79.99999999999659
85,pv,1,75.61907259626189
85,pv,2,79.99999999999628
86,pv,1,75.60964786321925
86,pv,2,79.99999999999595
87,pv,1,75.60036581290784
87,pv,2,79.9999999999956
88,pv,1,75.59122381116721
88,pv,2,79.99999999999524
89,pv,1,75.58221969467411
89,pv,2,79.99999999999487
90,pv,1,75.57335166010748
90,pv,2,79.9999999999945
91,pv,1,75.56461810958551
91,pv,2,79.99999999999412
92,pv,1,75.55601749730515
92,pv,2,79.99999999999373
93,pv,1,75.54754821066803
93,pv,2,79.99999999999334
94,pv,1,75.53920850324405
94,pv,2,79.99999999999294
95,pv,1,75.53099648052853
95,pv,2,79.99999999999255
96,pv,1,75.52291012868422
96,pv,2,79.9999999999912
97,pv,1,75.5149473691118
97,pv,2,79.99999999999106
98,pv,1,75.50710611824397
98,pv,2,79.99999999999096
99,pv,1,75.49938434187908
99,pv,2,79.99999999999103
100,pv,1,75.49178008794799
100,pv,2,79.99999999999109
101,pv,1,75.48429150269992
101,pv,2,79.99999999999119
102,pv,1,75.47691682362252
102,pv,2,79.99999999999132
103,pv,1,75.46965436279672
103,pv,2,79.99999999999145
104,pv,1,75.46250248238802
104,pv,2,79.99999999999156
105,pv,1,75.45545957070185
105,pv,2,79.99999999999179
106,pv,1,75.44852402676864
106,pv,2,79.99999999999197
107,pv,1,75.44169424878616
107,pv,2,79.99999999999218
108,pv,1,75.43496863388967
108,pv,2,79.9999999999924
109,pv,1,75.42834558150088
109,pv,2,79.99999999999262
110,pv,1,75.42182350225067
110,pv,2,79.99999999999288
111,pv,1,75.41540082632292
111,pv,2,79.99999999999312
112,pv,1,75.40907601118035
112,pv,2,79.99999999999338
113,pv,1,75.4028475455666
113,pv,2,79.99999999999362
114,pv,1,75.3967139521191
114,pv,2,79.99999999999372
115,pv,1,75.39067378561928
115,pv,2,79.9999999999939
116,pv,1,75.38472562825932
116,pv,2,79.9999999999941
117,pv,1,75.3788680823936
117,pv,2,79.99999999999429
118,pv,1,75.37309978854276
118,pv,2,79.99999999999444
119,pv,1,75.36741938688849
119,pv,2,79.99999999999339
120,pv,1,75.36182556871763
120,pv,2,79.99999999999999
121,pv,1,75.35631697321995
121,pv,2,79.99999999999999
122,pv,1,75.35089232822008
122,pv,2,79.99999999999999
123,pv,1,75.34555033053906
123,pv,2,79.99999999999999
124,pv,1,75.34028972865978
124,pv,2,79.99999999999999
125,pv,1,75.33510926891019
125,pv,2,79.99999999999999
126,pv,1,75.33000773265543
126,pv,2,79.99999999999997
127,pv,1,75.32498391158343
127,pv,2,79.99999999999996
128,pv,1,75.32003662378919
128,pv,2,79.99999999999996
129,pv,1,75.31516470187691
129,pv,2,79.99999999999996
130,pv,1,75.31036699984875
130,pv,2,79.99999999999996
131,pv,1,75.30564238700414
131,pv,2,79.99999999999994
132,pv,1,75.30098975081846
132,pv,2,79.99999999999993
133,pv,1,75.2964079942984
133,pv,2,79.99999999999993
134,pv,1,75.29189603722705
134,pv,2,79.99999999999991
135,pv,1,75.28745281493582
135,pv,2,79.9999999999999
136,pv,1,75.28307727907597
136,pv,2,79.9999999999999
137,pv,1,75.27876839698052
137,pv,2,79.99999999999989
138,pv,1,75.27452515200098
138,pv,2,79.99999999999987
139,pv,1,75.2703465431288
139,pv,2,79.99999999999986
140,pv,1,75.2662315848646
140,pv,2,79.99999999999984
141,pv,1,75.26217930692465
141,pv,2,79.99999999999982
142,pv,1,75.25818875428605
142,pv,2,79.9999999999998
143,pv,1,75.25425898588672
