iteration,dual,timestep,line,value
102,lambda,2,,-30.107599487212404
103,lambda,1,,-25.011198970055315
103,lambda,2,,-29.619016940399806
104,lambda,1,,-25.51042172147392
104,lambda,2,,-29.331103379684734
105,lambda,1,,-26.013361305687734
105,lambda,2,,-29.263992168441742
106,lambda,1,,-26.51982024512568
106,lambda,2,,-29.382216120930895
107,lambda,1,,-27.02951172474409
107,lambda,2,,-29.61572313340983
108,lambda,1,,-27.542070138851795
108,lambda,2,,-29.884023189148962
109,lambda,1,,-28.057063492182866
109,lambda,2,,-30.117171726861926
110,lambda,1,,-28.574007242017156
110,lambda,2,,-30.269477126940007
111,lambda,1,,-29.09237914109514
111,lambda,2,,-30.324448122936424
112,lambda,1,,-29.611634630619466
112,lambda,2,,-30.359942136056663
113,lambda,1,,-30.101016949639632
113,lambda,2,,-30.430535934291715
114,lambda,1,,-30.47659951492573
114,lambda,2,,-30.54797150036249
115,lambda,1,,-30.763092999593923
115,lambda,2,,-30.698603218064186
116,lambda,1,,-30.979254132834875
116,lambda,2,,-30.860852834028893
117,lambda,1,,-31.126781508916352
117,lambda,2,,-31.01707580331651
118,lambda,1,,-31.201685486969478
118,lambda,2,,-31.15829819213671
119,lambda,1,,-31.202482724591793
119,lambda,2,,-31.28345355791003
120,lambda,1,,-31.142531593288048
120,lambda,2,,-31.395986751361857
121,lambda,1,,-26.145170363997753
121,lambda,2,,-31.500330766878875
122,lambda,1,,-23.145170364003636
122,lambda,2,,-31.599644404930284
123,lambda,1,,-20.145170364012444
123,lambda,2,,-31.695081036386608
124,lambda,1,,-17.145170364035728
124,lambda,2,,-31.786157616157826
125,lambda,1,,-14.294657644417653
125,lambda,2,,-31.871578153062266
126,lambda,1,,-12.906292232498792
126,lambda,2,,-31.949992981390725
127,lambda,1,,-13.092497687343688
127,lambda,2,,-32.020438573496165
128,lambda,1,,-14.051986531167142
128,lambda,2,,-32.082440405125475
129,lambda,1,,-15.11131724840596
129,lambda,2,,-32.135895989755035
130,lambda,1,,-13.587461763471556
130,lambda,2,,-32.1808836896728
131,lambda,1,,-11.342933430703168
131,lambda,2,,-32.21750354957111
132,lambda,1,,-10.076260401126147
132,lambda,2,,-32.245795289840494
133,lambda,1,,-10.097217465813701
133,lambda,2,,-32.26572872609865
134,lambda,1,,-10.864381068200313
134,lambda,2,,-32.277236826818054
135,lambda,1,,-11.836050985371202
135,lambda,2,,-32.28025928425446
136,lambda,1,,-10.89737729844872
136,lambda,2,,-32.275629245636374
137,lambda,1,,-10.066850301295302
137,lambda,2,,-29.455030994185126
138,lambda,1,,-9.963278552958332
138,lambda,2,,-28.29634126113561
139,lambda,1,,-10.406933678105183
139,lambda,2,,-31.297854698069067
140,lambda,1,,-11.130780185007337
140,lambda,2,,-34.53096925316321
141,lambda,1,,-10.490522504984577
141,lambda,2,,-36.052046027176914
142,lambda,1,,-9.347984465052718
142,lambda,2,,-35.57869642371715
143,lambda,1,,-8.433591063774433
143,lambda,2,,-33.76551962230138
144,lambda,1,,-8.358705433888742
144,lambda,2,,-31.491820061249484
145,lambda,1,,-8.884357012555272
145,lambda,2,,-29.41134703174449
146,lambda,1,,-9.631192825609073
146,lambda,2,,-27.807532897418525
147,lambda,1,,-10.35561371733024
147,lambda,2,,-26.66313767468223
148,lambda,1,,-10.976049848233995
148,lambda,2,,-25.81455306582594
149,lambda,1,,-11.50710488006189
149,lambda,2,,-25.090048391270305
150,lambda,1,,-11.99240923759579
150,lambda,2,,-24.385390323889247
151,lambda,1,,-12.467318920140126
151,lambda,2,,-23.676820675635838
152,lambda,1,,-12.94893860296196
152,lambda,2,,-23.030327727384837
153,lambda,1,,-13.440423499161804
153,lambda,2,,-22.734938215775912
154,lambda,1,,-13.938576161294902
154,lambda,2,,-22.653134744624946
155,lambda,1,,-14.439332184731231
155,lambda,2,,-22.77550351220177
156,lambda,1,,-14.940103887799175
156,lambda,2,,-24.907067728445064
157,lambda,1,,-15.43997687270944
157,lambda,2,,-27.19878265410366
158,lambda,1,,-15.939050490710375
158,lambda,2,,-28.713145584068613
159,lambda,1,,-16.43775807529266
159,lambda,2,,-30.098399258727724
160,lambda,1,,-16.936475696098523
160,lambda,2,,-31.141271487219804
161,lambda,1,,-17.43540462283724
161,lambda,2,,-31.680110550547393
162,lambda,1,,-17.934603033696085
162,lambda,2,,-31.7068843183654
163,lambda,1,,-18.43405735989483
163,lambda,2,,-31.33358314321825
164,lambda,1,,-18.933736728509654
164,lambda,2,,-30.7386784369783
165,lambda,1,,-19.433617636997848
165,lambda,2,,-30.11059517749199
166,lambda,1,,-19.933687269599925
166,lambda,2,,-29.601932244621487
167,lambda,1,,-20.433937836549887
167,lambda,2,,-29.30251485519603
168,lambda,1,,-20.934360345027855
168,lambda,2,,-29.233151896750698
169,lambda,1,,-21.434941116274942
169,lambda,2,,-29.3567607217804
170,lambda,1,,-21.935661083247787
170,lambda,2,,-29.60028426678193
171,lambda,1,,-22.43649670207352
171,lambda,2,,-29.879852162909852
172,lambda,1,,-22.93742137806228
172,lambda,2,,-30.122630814653096
173,lambda,1,,-23.438406800260516
173,lambda,2,,-30.28108420505774
174,lambda,1,,-23.939424010223846
174,lambda,2,,-30.33810600245599
175,lambda,1,,-24.440444249046784
175,lambda,2,,-30.35829185210556
176,lambda,1,,-24.94143968378076
176,lambda,2,,-30.41211814309939
177,lambda,1,,-25.442384073648288
177,lambda,2,,-30.519133222728836
178,lambda,1,,-25.943253394727442
178,lambda,2,,-30.667073196952728
179,lambda,1,,-26.44402640936932
179,lambda,2,,-30.8320654375978
180,lambda,1,,-26.944685156613158
180,lambda,2,,-30.99315878256577
181,lambda,1,,-27.445215342778308
181,lambda,2,,-31.138806088336114
182,lambda,1,,-27.945606619108265
182,lambda,2,,-31.266741352086168
183,lambda,1,,-28.445852740854843
183,lambda,2,,-31.380403678616684
184,lambda,1,,-28.945951607646595
184,lambda,2,,-31.48486575573333
185,lambda,1,,-29.44590518937772
185,lambda,2,,-31.584032632195516
186,lambda,1,,-29.945719343119304
186,lambda,2,,-31.679579836116552
187,lambda,1,,-30.342588108197074
187,lambda,2,,-31.771228332811525
188,lambda,1,,-30.64581703580618
188,lambda,2,,-31.857636760801082
189,lambda,1,,-30.878701859241342
189,lambda,2,,-31.93729134320517
190,lambda,1,,-31.047129997421056
190,lambda,2,,-32.009060597296454
191,lambda,1,,-31.147818979226965
191,lambda,2,,-32.072361462020154
192,lambda,1,,-31.177945793754354
192,lambda,2,,-32.12705403172632
193,lambda,1,,-31.14666989698366
193,lambda,2,,-32.17322991266529
194,lambda,1,,-26.29286473052285
194,lambda,2,,-32.21102297927074
195,lambda,1,,-23.94981486140777
195,lambda,2,,-32.24050341347214
196,lambda,1,,-22.372772335959375
196,lambda,2,,-32.26165648321571
197,lambda,1,,-21.826193078738065
197,lambda,2,,-32.27441493147507
198,lambda,1,,-22.249709227875073
198,lambda,2,,-32.27870811464575
199,lambda,1,,-19.55598917513793
199,lambda,2,,-32.27505036620134
200,lambda,1,,-16.555989175143345
200,lambda,2,,-32.26512280090786
201,lambda,1,,-14.556969307531936
201,lambda,2,,-29.45268751250638
202,lambda,1,,-14.040935066906549
202,lambda,2,,-27.86502066509401
203,lambda,1,,-14.598415246911205
203,lambda,2,,-30.83421676425861
204,lambda,1,,-15.821933052001459
204,lambda,2,,-34.22708471486948
205,lambda,1,,-14.677685996610718
205,lambda,2,,-35.932903683330586
206,lambda,1,,-12.361600707468792
206,lambda,2,,-35.57758607117631
207,lambda,1,,-10.219401560058238
207,lambda,2,,-33.79602205022286
208,lambda,1,,-9.576960881367068
208,lambda,2,,-31.492168591097958
209,lambda,1,,-10.079629659232568
209,lambda,2,,-29.357745103136892
210,lambda,1,,-11.039965650500916
210,lambda,2,,-27.70621030475811
211,lambda,1,,-11.990136329084637
211,lambda,2,,-26.534401512606085
212,lambda,1,,-12.758301937285692
212,lambda,2,,-25.678872858205054
213,lambda,1,,-13.358115570420567
213,lambda,2,,-24.960648345778164
214,lambda,1,,-13.86521024487753
214,lambda,2,,-24.26715880663464
215,lambda,1,,-14.34485541390075
215,lambda,2,,-23.568968930787513
216,lambda,1,,-14.830194175976908
216,lambda,2,,-22.977340169100625
217,lambda,1,,-15.328358715197377
217,lambda,2,,-22.712320475792556
218,lambda,1,,-15.834013791428692
218,lambda,2,,-22.63976551437738
219,lambda,1,,-16.339696407338593
219,lambda,2,,-22.920738298601236
220,lambda,1,,-16.840510137053624
220,lambda,2,,-25.0871886292668
221,lambda,1,,-17.334748115063864
221,lambda,2,,-27.340469601876304
222,lambda,1,,-17.8227790186929
222,lambda,2,,-28.793345269370523
223,lambda,1,,-18.305788371766575
223,lambda,2,,-30.086403265087494
224,lambda,1,,-18.785008451446
224,lambda,2,,-31.06112404677209
225,lambda,1,,-19.261450465095365
225,lambda,2,,-31.56603448342969
226,lambda,1,,-19.735924623735553
226,lambda,2,,-31.593034553911117
227,lambda,1,,-20.209145512573077
227,lambda,2,,-31.246180480303316
228,lambda,1,,-20.681812933274053
228,lambda,2,,-30.691789543613243
229,lambda,1,,-21.154639675648774
229,lambda,2,,-30.105691236095755
230,lambda,1,,-21.628339617873877
230,lambda,2,,-29.630456098906894
231,lambda,1,,-22.103598941275784
231,lambda,2,,-29.350169970553804
232,lambda,1,,-22.581046893071473
232,lambda,2,,-29.284526032465372
233,lambda,1,,-23.06123325350376
233,lambda,2,,-29.399140072606336
234,lambda,1,,-23.54461334297795
234,lambda,2,,-29.6259647021285
235,lambda,1,,-24.031538869448347
235,lambda,2,,-29.88676102435245
236,lambda,1,,-24.52225275787431
236,lambda,2,,-30.113505651256457
237,lambda,1,,-25.016886959861843
237,lambda,2,,-30.26173098381049
238,lambda,1,,-25.51546286274216
238,lambda,2,,-30.31535254783657
239,lambda,1,,-26.01789430530856
239,lambda,2,,-30.36102687992726
240,lambda,1,,-26.52399323799079
240,lambda,2,,-30.442765305482794
241,lambda,1,,-27.033477947019296
241,lambda,2,,-30.567124229913578
242,lambda,1,,-27.545983600545167
242,lambda,2,,-30.71954214679703
243,lambda,1,,-28.06107476628193
243,lambda,2,,-30.879967156121563
244,lambda,1,,-28.57825948065424
244,lambda,2,,-31.032952783289964
245,lambda,1,,-29.097004419470704
245,lambda,2,,-31.171235017700734
246,lambda,1,,-29.61675070491707
246,lambda,2,,-31.29454411216054
247,lambda,1,,-30.10543061835528
247,lambda,2,,-31.406328242343886
248,lambda,1,,-30.480506304945592
248,lambda,2,,-31.51059497421628
249,lambda,1,,-30.76667266787964
249,lambda,2,,-31.61000708115389
250,lambda,1,,-30.98247324132808
250,lambda,2,,-31.705370980750125
251,lambda,1,,-31.12950157413925
251,lambda,2,,-31.79606816369229
252,lambda,1,,-31.203761346249497
252,lambda,2,,-31.880832893369984
253,lambda,1,,-31.203804574513217
253,lambda,2,,-31.95842462209431
254,lambda,1,,-31.143287884508137
254,lambda,2,,-32.027991447735076
255,lambda,1,,-26.140563488688525
255,lambda,2,,-32.08913095439077
256,lambda,1,,-23.14056348868849
256,lambda,2,,-32.14176549213159
257,lambda,1,,-20.140563488688567
257,lambda,2,,-32.1859645959778
258,lambda,1,,-17.140563488689853
258,lambda,2,,-32.221805813960415
259,lambda,1,,-14.290860425026185
259,lambda,2,,-32.24930861780758
260,lambda,1,,-12.904046944533071
260,lambda,2,,-32.26843255965899
261,lambda,1,,-13.091183877578105
261,lambda,2,,-32.279110752406424
262,lambda,1,,-14.050901899907219
262,lambda,2,,-32.281289759271345
263,lambda,1,,-15.110083787570046
263,lambda,2,,-32.27601435334857
264,lambda,1,,-13.586517878031437
264,lambda,2,,-29.455206610349983
265,lambda,1,,-11.342326011139649
265,lambda,2,,-28.24607609666353
266,lambda,1,,-10.075803456572991
266,lambda,2,,-31.243552386644957
267,lambda,1,,-10.096759642893913
267,lambda,2,,-34.495236374294635
268,lambda,1,,-10.86385854764792
268,lambda,2,,-36.03793981487077
269,lambda,1,,-11.83545387845666
269,lambda,2,,-35.578484433379884
270,lambda,1,,-10.896837903079152
270,lambda,2,,-33.76909969665721
271,lambda,1,,-10.066367063833848
271,lambda,2,,-31.49193587747006
272,lambda,1,,-9.962819134111015
272,lambda,2,,-29.405175287643413
273,lambda,1,,-10.406472904458585
273,lambda,2,,-27.795773149527502
274,lambda,1,,-11.130355670333499
274,lambda,2,,-26.648152732123645
275,lambda,1,,-10.490208063360926
275,lambda,2,,-25.79873805485418
276,lambda,1,,-9.34779057309663
276,lambda,2,,-25.074957346142202
277,lambda,1,,-8.43348165938864
277,lambda,2,,-24.371602495911937
278,lambda,1,,-8.358621361754881
278,lambda,2,,-23.664248202865515
279,lambda,1,,-8.884262579931788
279,lambda,2,,-23.02415278353274
280,lambda,1,,-9.63107856274364
280,lambda,2,,-22.73230383291287
281,lambda,1,,-10.355484655436372
281,lambda,2,,-22.651577931906633
282,lambda,1,,-10.975914540214923
282,lambda,2,,-22.792414628540616
283,lambda,1,,-11.506969752747558
283,lambda,2,,-24.928042760170793
284,lambda,1,,-11.992277410585514
284,lambda,2,,-27.215284147762095
285,lambda,1,,-12.46719117327276
285,lambda,2,,-28.72248837041396
286,lambda,1,,-12.948814699653637
286,lambda,2,,-30.09699642508776
287,lambda,1,,-13.440303062465226
287,lambda,2,,-31.131926522892783
288,lambda,1,,-13.938459007389067
288,lambda,2,,-31.666812785152022
289,lambda,1,,-14.439218316051193
289,lambda,2,,-31.69361465185493
290,lambda,1,,-14.93999336749128
290,lambda,2,,-31.32339732196783
291,lambda,1,,-15.439869712668711
291,lambda,2,,-30.733215378524125
292,lambda,1,,-15.938946595704481
292,lambda,2,,-30.1100257192936
293,lambda,1,,-16.437657235170796
293,lambda,2,,-29.605258507742537
294,lambda,1,,-16.936377602936464
294,lambda,2,,-29.308070227842524
295,lambda,1,,-17.43530889448824
295,lambda,2,,-29.239139959959875
296,lambda,1,,-17.934509234922274
296,lambda,2,,-29.361699763143616
297,lambda,1,,-18.433965019301716
297,lambda,2,,-29.60327658948815
298,lambda,1,,-18.93364535264314
298,lambda,2,,-29.88065647371729
299,lambda,1,,-19.433526723348145
299,lambda,2,,-30.121566429200104
300,lambda,1,,-19.93359631947399
300,lambda,2,,-30.278827988382474
301,lambda,1,,-20.433846368730403
301,lambda,2,,-30.335453767914416
302,lambda,1,,-20.93426790646354
302,lambda,2,,-30.358610223177536
303,lambda,1,,-21.434847294439784
303,lambda,2,,-30.415689474004747
304,lambda,1,,-21.935565516183374
304,lambda,2,,-30.52472580602482
305,lambda,1,,-22.436399086724048
305,lambda,2,,-30.673187601471962
306,lambda,1,,-22.93732147669516
306,lambda,2,,-30.837647536348932
307,lambda,1,,-23.43830444486911
307,lambda,2,,-30.997795985855255
308,lambda,1,,-23.939319104343774
308,lambda,2,,-31.142584967580373
309,lambda,1,,-24.440336768952236
309,lambda,2,,-31.269981116589243
310,lambda,1,,-24.941329676599466
310,lambda,2,,-31.383424585523034
311,lambda,1,,-25.442271653691
311,lambda,2,,-31.487863925168273
312,lambda,1,,-25.943138738390644
312,lambda,2,,-31.58705940550562
313,lambda,1,,-26.443909748307938
313,lambda,2,,-31.682585267981207
314,lambda,1,,-26.94456676962104
314,lambda,2,,-31.774122917051688
315,lambda,1,,-27.445095546727398
315,lambda,2,,-31.86033980657556
316,lambda,1,,-27.945485759146887
316,lambda,2,,-31.93975400329999
317,lambda,1,,-28.445731180141923
317,lambda,2,,-32.01126660744627
318,lambda,1,,-28.945829717029685
318,lambda,2,,-32.07431561025253
319,lambda,1,,-29.445783336878506
319,lambda,2,,-32.128768360858786
320,lambda,1,,-29.94559788405245
320,lambda,2,,-32.17471389279647
321,lambda,1,,-30.342495314205294
321,lambda,2,,-32.21227951573668
322,lambda,1,,-30.645747052698518
322,lambda,2,,-32.24152950183361
323,lambda,1,,-30.878649092605976
323,lambda,2,,-32.262446116014964
324,lambda,1,,-31.047093479771558
324,lambda,2,,-32.274962154641244
325,lambda,1,,-31.147799679799185
325,lambda,2,,-32.27900899712938
326,lambda,1,,-31.17794418282736
326,lambda,2,,-32.275162753091536
327,lambda,1,,-31.146680536682354
327,lambda,2,,-29.45481806116726
328,lambda,1,,-26.2929333622751
328,lambda,2,,-28.357388638431622
329,lambda,1,,-23.949860916129282
329,lambda,2,,-31.36380500595214
330,lambda,1,,-22.37279933526116
330,lambda,2,,-34.57436682432316
331,lambda,1,,-21.826208193939106
331,lambda,2,,-36.06917794232635
332,lambda,1,,-22.24972017263131
332,lambda,2,,-35.57895382144886
333,lambda,1,,-19.555996098831105
333,lambda,2,,-33.76117161606012
334,lambda,1,,-16.55599610157244
334,lambda,2,,-31.49167945831741
335,lambda,1,,-14.556978412240731
335,lambda,2,,-29.41884271244164
336,lambda,1,,-14.040946212001082
336,lambda,2,,-27.821815225047363
337,lambda,1,,-14.598427412496985
337,lambda,2,,-26.681336998892654
338,lambda,1,,-15.821948655653607
338,lambda,2,,-25.833760497352603
339,lambda,1,,-14.677700959468321
339,lambda,2,,-25.108376555266375
340,lambda,1,,-12.361612651790983
340,lambda,2,,-24.402135723262678
341,lambda,1,,-10.219408674410849
341,lambda,2,,-23.692090022484184
342,lambda,1,,-9.576965171847496
342,lambda,2,,-23.037827273622863
343,lambda,1,,-10.079633274487156
343,lambda,2,,-22.738137713008292
344,lambda,1,,-11.039969728108128
344,lambda,2,,-22.65502551079902
345,lambda,1,,-11.990141101510437
345,lambda,2,,-22.754964885236326
346,lambda,1,,-12.758307190417861
346,lambda,2,,-24.88159341061801
347,lambda,1,,-13.358121013386114
347,lambda,2,,-27.178741459910967
348,lambda,1,,-13.865215679634824
348,lambda,2,,-28.701798685382155
349,lambda,1,,-14.344860756631077
349,lambda,2,,-30.10010297071922
350,lambda,1,,-14.83019941651317
350,lambda,2,,-31.15262096620162
351,lambda,1,,-15.32836387105105
351,lambda,2,,-31.696260739757296
352,lambda,1,,-15.834018880114733
352,lambda,2,,-31.723000394855095
353,lambda,1,,-16.339701437170202
353,lambda,2,,-31.3459538845794
354,lambda,1,,-16.840515108582593
354,lambda,2,,-30.74531336484961
355,lambda,1,,-17.334753025790604
355,lambda,2,,-30.111286803939574
356,lambda,1,,-17.822783866782025
356,lambda,2,,-29.597892494640487
357,lambda,1,,-18.305793157919037
357,lambda,2,,-29.295767834882124
358,lambda,1,,-18.78501317916731
358,lambda,2,,-29.225879365486357
359,lambda,1,,-19.261455140112357
359,lambda,2,,-29.350762227772886
360,lambda,1,,-19.73592925335033
360,lambda,2,,-29.59665006928451
361,lambda,1,,-20.20915010476119
361,lambda,2,,-29.878875316001917
362,lambda,1,,-20.681817496699168
362,lambda,2,,-30.123923509785744
363,lambda,1,,-21.154644219516918
363,lambda,2,,-30.28382438746061
364,lambda,1,,-21.628344151637148
364,lambda,2,,-30.34132721079809
365,lambda,1,,-22.10360347438171
365,lambda,2,,-30.35790524376646
366,lambda,1,,-22.581051434672304
366,lambda,2,,-30.4077807706071
367,lambda,1,,-23.061237812219776
367,lambda,2,,-30.512340999097514
368,lambda,1,,-23.544617926694265
368,lambda,2,,-30.65964719977474
369,lambda,1,,-24.031543477882778
369,lambda,2,,-30.825285922612093
370,lambda,1,,-24.522257400496848
370,lambda,2,,-30.98752685135438
371,lambda,1,,-25.016891645682662
371,lambda,2,,-31.134216603167477
372,lambda,1,,-25.515467597001255
372,lambda,2,,-31.262806630917215
373,lambda,1,,-26.01789908942523
373,lambda,2,,-31.376734764698245
374,lambda,1,,-26.52399807171059
374,lambda,2,,-31.481224457298254
375,lambda,1,,-27.03348282912187
375,lambda,2,,-31.580356593102465
376,lambda,1,,-27.54598852894071
376,lambda,2,,-31.675929714665063
377,lambda,1,,-28.06107973789893
377,lambda,2,,-31.76771283506763
378,lambda,1,,-28.578264491502235
378,lambda,2,,-31.85435388692074
379,lambda,1,,-29.09700945859172
379,lambda,2,,-31.9343004190382
380,lambda,1,,-29.616755767308423
380,lambda,2,,-32.006381376269964
381,lambda,1,,-30.10543452631746
381,lambda,2,,-32.06998812921246
382,lambda,1,,-30.480509298853935
382,lambda,2,,-32.1249719610717
383,lambda,1,,-30.766674975813988
383,lambda,2,,-32.17142760266318
384,lambda,1,,-30.982474894172885
384,lambda,2,,-32.20949690103996
385,lambda,1,,-31.129502524259333
385,lambda,2,,-32.23925721562661
386,lambda,1,,-31.20376156283165
386,lambda,2,,-32.26069744756873
387,lambda,1,,-31.203804076487053
387,lambda,2,,-32.27375030058634
388,lambda,1,,-31.14328697771062
388,lambda,2,,-32.2783426932709
